artista,total_musicas,popularidade_media
Yiruma,63,45.2
Midian Lima,6,45.2
Mariano Barba,7,45.1
Laura Branigan,7,45.1
Faime,8,45.1
Maneva,40,45.1
Trevor Something,6,45.0
Tove Styrke,6,45.0
Imaginasamba,8,45.0
Ferrugem,38,45.0
Mumuzinho,20,45.0
Cheer Chen,7,45.0
Manuel Carrasco,7,45.0
Arca,22,45.0
Yasuharu Takanashi;YAIBA,6,45.0
Skillet,19,45.0
Leonardo;Eduardo Costa,11,44.9
The Devil Wears Prada,24,44.8
Dope,8,44.8
Billie Eilish,49,44.8
"Phillips, Craig & Dean",11,44.7
Ooyy,6,44.7
Stephen Sanchez,22,44.7
Dilsinho;Sorriso Maroto,14,44.7
Silverchair,7,44.7
Fall Out Boy,31,44.7
Sia,9,44.7
Serrini,6,44.7
Mayhem,6,44.7
Inhaler,11,44.7
Zezé Di Camargo & Luciano,9,44.6
Ollie,20,44.6
Ichika Nito,18,44.6
Legião Urbana,30,44.6
Nívea Soares,8,44.6
Jota Quest,19,44.6
Massano,6,44.5
The Yellow Diary,8,44.5
Boris Brejcha,48,44.5
Armandinho,8,44.5
Rachael Yamagata,6,44.5
Bon Jovi,24,44.4
Banda Magníficos,12,44.4
NTO,19,44.4
Şehinşah,12,44.3
A Flock Of Seagulls,7,44.3
Em Beihold,6,44.3
João Paulo & Daniel,6,44.3
Ben E. King,6,44.3
Raça Negra,6,44.3
Fagner,8,44.3
Suzonn,8,44.3
Ömer Balık,6,44.3
Isaias Saad,6,44.3
Hillsong Worship,78,44.2
Boozoo Bajou,6,44.2
MC Neguinho do Kaxeta,9,44.2
Hafdís Huld,9,44.2
KLOUD,12,44.2
Watchhouse,11,44.2
Chris Tomlin,68,44.2
Nusrat Fateh Ali Khan;A1Melodymaster,10,44.1
Rotlaus,7,44.1
Gabriel Brito,16,44.1
Sara Farell,7,44.1
Lagum,9,44.0
Deserts Chang,6,44.0
Icona Pop,7,44.0
SOPHIE,11,44.0
The Smashing Pumpkins,17,44.0
Lincoln Brewster,8,43.9
Doce Encontro,7,43.9
ヨルシカ,10,43.9
Hans Zimmer,42,43.9
Peppa Pig Stories,7,43.9
Raul Seixas,14,43.9
Thievery Corporation,21,43.8
Só Pra Contrariar,12,43.8
Grupo Revelação,24,43.8
Humberto & Ronaldo,17,43.8
Calcinha Preta,28,43.8
Prateek Kuhad,49,43.8
Otnicka,6,43.8
Dear Jane,10,43.8
Behemoth,22,43.8
Hideki Taniuchi,9,43.8
Fala Comigo;Tiee,7,43.7
Jacob's Piano,14,43.7
Lu Han,6,43.7
Jay Fung,6,43.7
Whitesnake,11,43.7
Feora,6,43.7
Max Brhon,8,43.6
7 Minutoz,13,43.5
Charlie Puth,39,43.5
Upchurch,22,43.5
Rose Nascimento,10,43.5
Wolfmother,8,43.5
Ceg,11,43.4
Joe Satriani,14,43.4
Josué Bom de Faixa,7,43.4
Lionel Richie,13,43.4
Opeth,23,43.4
Os Paralamas Do Sucesso,14,43.4
Staind,11,43.4
Hillsong Worship;Benjamin William Hastings,7,43.3
A Day To Remember,22,43.3
Forrozão Tropykalia,6,43.3
Nusrat Fateh Ali Khan;Afternight Vibes,9,43.3
Krewella,20,43.3
The Rolling Stones,48,43.3
Amelie Lens,6,43.2
Léo Magalhães,16,43.2
Robério e Seus Teclados,6,43.2
Bonde do gato preto,6,43.2
Pablo,33,43.2
Vitor Fernandes,17,43.2
Yoshihisa Hirano,6,43.2
Grupo Sensação,9,43.1
TroyBoi,8,43.1
